ANO;MÊS;DIA;HORA;360MIN;180MIN;CANAL;qtd_ENTs;TMC;TME
2021;5;11;9;Q1;QQ1;PORTAL;7;7406;27893,14
2021;5;11;12;Q1;QQ2;PORTAL;3;218,67;5783
2021;5;11;15;Q2;QQ3;PORTAL;8;1069,13;11553,75
2021;5;11;18;Q2;QQ4;PORTAL;13;26875;13967,85
2021;5;12;8;Q1;QQ1;PORTAL;1;167;6
2021;5;12;11;Q1;QQ2;PORTAL;13;84769,15;16258,31
2021;5;12;14;Q2;QQ3;PORTAL;1;57;165877
2021;5;12;17;Q2;QQ4;PORTAL;15;50226,07;16767,27
2021;5;13;7;Q1;QQ1;PORTAL;3;45;14064,33
2021;5;13;10;Q1;QQ1;PORTAL;1;74;138296
2021;5;13;13;Q1;QQ2;PORTAL;1;26;1429
2021;5;14;9;Q1;QQ1;PORTAL;8;1614;9108,38
2021;5;14;12;Q1;QQ2;PORTAL;3;3718;247,67
2021;5;16;13;Q1;QQ2;PORTAL;7;26846,57;164901
2021;5;17;12;Q1;QQ2;PORTAL;12;86714,92;10713,17
2021;5;18;8;Q1;QQ1;PORTAL;9;2383,11;59909,11
2021;5;18;11;Q1;QQ2;PORTAL;13;76478,92;37097,31
2021;5;19;7;Q1;QQ1;PORTAL;1;80;25
2021;5;19;10;Q1;QQ1;PORTAL;12;36270,67;9619,42
2021;5;21;8;Q1;QQ1;PORTAL;1;24;12
2021;5;22;1;NULL;NULL;PORTAL;21;69723,67;58411,57
2021;6;1;18;Q2;QQ4;PORTAL;1;401;9706
2021;6;3;16;Q2;QQ3;PORTAL;15;44636,2;15392,6
2021;6;3;19;Q2;QQ4;PORTAL;7;266961,14;23438
2021;6;7;12;Q1;QQ2;PORTAL;11;78;2064,73
2021;6;8;17;Q2;QQ4;PORTAL;5;105790;120293,8
2021;6;9;13;Q1;QQ2;PORTAL;1;47;165177
2021;6;10;9;Q1;QQ1;PORTAL;1;691;75727
2021;6;10;12;Q1;QQ2;PORTAL;20;68992,8;98136,35
2021;6;10;15;Q2;QQ3;PORTAL;3;118,33;2140
2021;6;10;18;Q2;QQ4;PORTAL;5;218;7197,4
2021;6;11;8;Q1;QQ1;PORTAL;2;98,5;17
2021;6;11;11;Q1;QQ2;PORTAL;6;586,67;15637,5
2021;6;11;14;Q2;QQ3;PORTAL;7;125;2742
2021;6;12;16;Q2;QQ3;PORTAL;1;300;600
2021;6;13;15;Q2;QQ3;PORTAL;2;63;54194
2021;6;14;8;Q1;QQ1;PORTAL;2;20,5;755,5
